unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
2ACACE8D-7DAB-295E-E063-4804A8C0B0EB,320000,12/11/2024,RG1 8DU,T,N,F,,72,YORK ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8D-7DAB-295E-E063-4804A8C0B0EB/current
237B17FD-A167-22AC-E063-4804A8C0EA3A,400000,7/29/2024,RG1 8DU,T,N,F,,74,YORK ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/237B17FD-A167-22AC-E063-4804A8C0EA3A/current
25E9DA80-68BD-555E-E063-4704A8C066F2,425000,9/6/2024,RG1 8DU,T,N,F,,83,YORK ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA80-68BD-555E-E063-4704A8C066F2/current
2859C1AB-822A-52B4-E063-4804A8C05948,350000,9/26/2024,RG1 8DX,T,N,F,,35,YORK ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AB-822A-52B4-E063-4804A8C05948/current
1775CCF6-E5E2-38BA-E063-4704A8C05A7C,284000,3/19/2024,RG1 8DX,T,N,F,,38,YORK ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF6-E5E2-38BA-E063-4704A8C05A7C/current
2F7F2B42-AB23-E08F-E063-4804A8C05A49,242500,12/19/2024,RG1 8DX,T,N,F,,42,YORK ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B42-AB23-E08F-E063-4804A8C05A49/current
2131FCF5-B495-86E8-E063-4804A8C0372B,350000,7/26/2024,RG1 8EA,T,N,F,,11,NEWPORT ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF5-B495-86E8-E063-4804A8C0372B/current
42C129E5-6C39-60A9-E063-4804A8C0C25D,485000,10/29/2024,RG1 8EA,T,N,F,,14,NEWPORT ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/42C129E5-6C39-60A9-E063-4804A8C0C25D/current
2859C1AB-829A-52B4-E063-4804A8C05948,430000,11/19/2024,RG1 8EA,T,N,F,,44,NEWPORT ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AB-829A-52B4-E063-4804A8C05948/current
1EAE3DF7-49A7-9EB1-E063-4704A8C09D02,320000,6/20/2024,RG1 8EA,T,N,F,,58,NEWPORT ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF7-49A7-9EB1-E063-4704A8C09D02/current
2859C1AB-84D7-52B4-E063-4804A8C05948,371500,10/30/2024,RG1 8EA,T,N,F,,72,NEWPORT ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AB-84D7-52B4-E063-4804A8C05948/current
1C3E72FD-D3B6-F410-E063-4804A8C0DFA6,425000,5/24/2024,RG1 8EG,T,N,F,,76,ADDISON ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FD-D3B6-F410-E063-4804A8C0DFA6/current
1A0C5C63-0F7E-7CBE-E063-4804A8C06C96,390000,4/26/2024,RG1 8EG,T,N,F,,88,ADDISON ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1A0C5C63-0F7E-7CBE-E063-4804A8C06C96/current
2859C1AB-8758-52B4-E063-4804A8C05948,250000,9/19/2024,RG1 8EG,T,N,F,,104,ADDISON ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AB-8758-52B4-E063-4804A8C05948/current
31C68071-BC72-FEE3-E063-4804A8C04F37,390000,9/26/2024,RG1 8EN,T,N,F,,32,ADDISON ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/31C68071-BC72-FEE3-E063-4804A8C04F37/current
1EAE3DF6-31E3-9EB1-E063-4704A8C09D02,495000,7/1/2024,RG1 8EN,T,N,F,,49,ADDISON ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-31E3-9EB1-E063-4704A8C09D02/current
1A0C5C63-0D15-7CBE-E063-4804A8C06C96,353250,1/18/2024,RG1 8EP,T,N,F,,50,CARDIFF ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1A0C5C63-0D15-7CBE-E063-4804A8C06C96/current
2F7F2B43-C17F-E08F-E063-4804A8C05A49,486000,4/30/2024,RG1 8EQ,O,N,L,7,"RICHFIELD PLACE, 12",RICHFIELD AVENUE,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B43-C17F-E08F-E063-4804A8C05A49/current
1A0C5C63-0C0E-7CBE-E063-4804A8C06C96,318000,1/19/2024,RG1 8ER,T,N,F,,19,CARDIFF ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1A0C5C63-0C0E-7CBE-E063-4804A8C06C96/current
1EAE3DF6-3332-9EB1-E063-4704A8C09D02,328000,3/8/2024,RG1 8ET,T,N,F,,33,CARDIFF ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-3332-9EB1-E063-4704A8C09D02/current
1C3E72FD-D1BD-F410-E063-4804A8C0DFA6,330000,5/3/2024,RG1 8EY,T,N,F,,7,SWANSEA ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FD-D1BD-F410-E063-4804A8C0DFA6/current
237B17FD-A3F9-22AC-E063-4804A8C0EA3A,300000,9/16/2024,RG1 8EZ,T,N,F,,53,SWANSEA ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/237B17FD-A3F9-22AC-E063-4804A8C0EA3A/current
25E9DA80-6CA2-555E-E063-4704A8C066F2,525000,1/30/2024,RG1 8GB,T,Y,F,,8,COX TERRACE,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA80-6CA2-555E-E063-4704A8C066F2/current
34222871-F91A-4D2B-E063-4704A8C07853,510000,9/30/2024,RG1 8GF,T,Y,F,,10,PRINTERS ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/34222871-F91A-4D2B-E063-4704A8C07853/current
2F7F2B42-AB51-E08F-E063-4804A8C05A49,330000,9/6/2024,RG1 8HA,S,N,F,,34,SWANSEA ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B42-AB51-E08F-E063-4804A8C05A49/current
2131FCF5-B3D5-86E8-E063-4804A8C0372B,335000,7/25/2024,RG1 8HA,T,N,F,,36,SWANSEA ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF5-B3D5-86E8-E063-4804A8C0372B/current
1A0C5C63-0C11-7CBE-E063-4804A8C06C96,386000,1/17/2024,RG1 8HA,T,N,F,,66,SWANSEA ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1A0C5C63-0C11-7CBE-E063-4804A8C06C96/current
38EDC0C3-9389-0F63-E063-4704A8C00424,1620000,11/29/2024,RG1 8JA,O,N,F,,71 - 73,CAVERSHAM ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-9389-0F63-E063-4704A8C00424/current
1C3E72FE-EC86-F410-E063-4804A8C0DFA6,370000,5/29/2024,RG1 8JP,O,N,F,,UNIT 9,TRAFFORD ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FE-EC86-F410-E063-4804A8C0DFA6/current
2131FCF5-B551-86E8-E063-4804A8C0372B,470000,7/17/2024,RG1 8QE,S,N,F,,8,DENBEIGH PLACE,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF5-B551-86E8-E063-4804A8C0372B/current
1C3E72FD-D36D-F410-E063-4804A8C0DFA6,505000,5/24/2024,RG1 8QE,S,N,F,,30,DENBEIGH PLACE,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FD-D36D-F410-E063-4804A8C0DFA6/current
152AB734-6A8F-E651-E063-4704A8C061D9,331000,3/1/2024,RG1 8QS,F,N,L,FLAT 28,REGENTS RIVERSIDE,BRIGHAM ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/152AB734-6A8F-E651-E063-4704A8C061D9/current
237B17FD-A336-22AC-E063-4804A8C0EA3A,317500,7/23/2024,RG1 8QS,F,N,L,FLAT 74,REGENTS RIVERSIDE,BRIGHAM ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/237B17FD-A336-22AC-E063-4804A8C0EA3A/current
