Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Postcodes,Active postcodes,Population,Households,Built up area,Nearby Sectors
RG6 6,51.446,-0.943852,473495,172419,SU734724,108,68,405,7,Reading,"RG6 9, RG6 1, RG6 5, RG1 5, RG6 4, RG6 7, RG2 7, RG1 3, RG1 4, RG6 2"
RG6 7,51.4413,-0.925596,474771,171915,SU747719,204,147,7733,2855,Reading,"RG6 2, RG6 5, RG6 3, RG5 3, RG6 4, RG6 1, RG6 6, RG6 9, RG2 7, RG5 4"
RG6 9,51.4576,-0.945607,473354,173707,SU733737,323,38,,,Reading,"RG6 6, RG6 1, RG4 0, RG1 3, RG4 6, RG1 5, RG1 4, RG4 5, RG1 1, RG6 5"
RG7 1,51.3852,-0.967942,471916,165633,SU719656,387,342,6812,2706,Spencers Wood,"RG27 7, RG2 8, RG1 9, RG2 0, RG2 9, RG2 7, RG2 6, RG27 0, RG1 2, RG1 4"
RG7 2,51.3596,-1.05871,465636,162701,SU656627,180,146,2035,814,Silchester,"RG7 3, RG26 3, RG26 5, RG26 4, RG24 8, RG24 0, RG26 6, RG3 7, RG7 8, RG7 4"
RG7 3,51.3876,-1.05962,465533,165815,SU655658,391,319,9752,3892,Burghfield Common,"RG7 2, RG3 7, RG7 4, RG31 4, RG3 5, RG31 7, RG31 5, RG3 3, RG30 3, RG7 1"
RG7 4,51.401,-1.11678,461537,167255,SU615672,347,222,3306,1360,Theale (West Berkshire),"RG19 9, RG7 5, RG26 3, RG26 4, RG7 8, RG26 5, RG26 6, RG7 3, RG26 9, RG7 6"
RG7 5,51.4201,-1.13152,460487,169367,SU604693,327,246,5429,2281,Theale (West Berkshire),"RG19 9, RG7 4, RG7 6, RG26 4, RG26 3, RG7 8, RG26 6, RG8 8, RG26 9, RG3 7"
RG7 6,51.4307,-1.17731,457290,170509,SU572705,263,198,4151,1413,Southend,"RG7 5, RG19 9, RG18 0, RG18 4, RG19 6, RG19 4, RG7 4, RG19 3, RG7 8, RG18 9"
RG7 8,51.3674,-1.1486,459367,163493,SU593634,53,28,,,Tadley,"RG26 4, RG26 9, RG26 6, RG26 3, RG19 9, RG7 4, RG26 5, RG7 5, RG7 6, RG7 2"
RG8 0,51.5323,-1.09861,462622,181873,SU626818,323,215,5522,2148,Goring,"RG8 1, RG8 7, RG8 8, RG8 6, RG8 9, OX10 6, OX9 6, OX10 9, OX10 8, OX10 1"
RG8 1,51.5232,-1.14025,459745,180826,SU597808,43,5,,,Goring,"RG8 9, RG8 0, OX10 9, RG8 8, OX10 1, OX10 0, RG8 7, RG8 6, OX10 8, RG7 5"
RG8 6,51.4835,-1.08731,463473,176456,SU634764,68,10,,,Pangbourne,"RG8 7, RG8 8, RG8 0, RG31 6, RG3 6, RG31 5, RG3 5, RG31 4, RG3 7, RG30 6"
RG8 7,51.4915,-1.08303,463759,177349,SU637773,335,214,4510,1906,Pangbourne,"RG8 6, RG8 8, RG8 0, RG31 6, RG3 6, RG31 5, RG3 5, RG31 4, RG3 7, RG8 1"
RG8 8,51.4794,-1.10312,462381,175986,SU623759,276,206,5754,2136,Pangbourne,"RG8 6, RG8 7, RG8 0, RG31 6, RG3 6, RG31 5, RG8 1, RG3 5, RG8 9, RG7 5"
RG8 9,51.5192,-1.1497,459095,180374,SU590803,272,195,2912,1221,Goring,"RG8 1, RG8 0, OX10 9, RG8 8, RG8 7, OX10 1, OX10 0, RG8 6, OX10 8, RG18 0"
RG9 1,51.5325,-0.906363,475956,182077,SU759820,384,249,8826,3828,Henley-on-Thames,"RG9 9, RG9 2, RG9 3, RG9 4, RG9 6, RG10 8, RG5 4, RG10 9, RG5 3, RG4 6"
RG9 2,51.5393,-0.9059,475977,182834,SU759828,231,122,2758,1438,Henley-on-Thames,"RG9 9, RG9 1, RG9 3, RG9 4, RG9 6, RG10 8, RG5 4, RG10 9, RG9 5, RG5 3"
RG9 3,51.5306,-0.885732,477390,181887,SU773818,207,132,2167,842,Lower Shiplake,"RG9 1, RG9 9, RG9 2, RG10 8, RG9 4, RG10 9, RG9 6, RG5 4, RG10 0, RG5 3"
RG9 4,51.5223,-0.927426,474512,180921,SU745809,260,194,2296,804,Henley-on-Thames,"RG9 1, RG9 9, RG9 2, RG9 3, RG4 6, RG4 0, RG4 9, RG10 8, RG6 1, RG9 6"
RG9 5,51.5494,-0.989431,470168,183874,SU701838,281,210,3954,1403,Sonning Common,"RG4 9, RG4 7, RG9 4, RG30 9, RG9 2, RG4 8, RG9 9, RG30 1, RG9 1, RG3 1"
RG9 6,51.5832,-0.909938,475624,187712,SU756877,281,213,3036,1235,Henley-on-Thames,"RG9 2, RG9 9, RG9 1, RG9 3, RG9 4, HP14 3, RG9 5, RG10 8, OX9 4, OX39 4"
RG9 9,51.5359,-0.904,476114,182458,SU761824,174,14,,,Henley-on-Thames,"RG9 2, RG9 1, RG9 3, RG9 4, RG9 6, RG10 8, RG5 4, RG10 9, RG5 3, RG9 5"
RG10 0,51.4649,-0.854426,479676,174614,SU796746,330,242,5919,2405,Hurst,"RG10 9, RG11 5, RG41 1, RG41 3, RG41 5, RG5 4, RG10 8, RG11 9, RG41 2, RG11 2"
RG10 8,51.4991,-0.877129,478041,178393,SU780783,229,142,3473,1444,Wargrave,"RG10 9, RG9 3, RG10 0, RG9 1, RG9 9, RG5 4, RG9 2, RG9 4, RG41 5, RG11 5"
RG10 9,51.4813,-0.872635,478383,176418,SU783764,388,293,8787,3549,Twyford (Wokingham),"RG10 8, RG10 0, RG5 4, RG41 5, RG11 5, RG9 3, RG5 3, RG11 9, RG4 6, RG4 0"
