stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
039026330002,,"Highmoor Road Church",,51.47282948,-0.987342279,,,0,,,0
039025820001,,"Darell Road",,51.473452872,-0.984564007,,,0,,,0
039026320003,,"Highmoor Road, Albert Road",,51.473476111,-0.982058186,,,0,,,0
039027510002,,"The Mount",,51.470819825,-0.980441857,,,0,,,0
039025250001,,"Blenheim Road",,51.471003746,-0.97796671,,,0,,,0
039027280001,,"St Anne's Well",,51.469830344,-0.976423632,,,0,,,0
039025460002,,"Caversham Library",,51.467879498,-0.974408569,,,0,,,0
039025290001,,"Bridge Street, Caversham",,51.466865628,-0.976720295,,,0,,,0
039026100004,,"Friar Street",,51.456712936,-0.974558038,,,0,,,0
039027770002,,"Westfield Road",,51.466465813,-0.969056111,,,0,,,0
039027680001,,"Washington Road",,51.465862167,-0.96483731,,,0,,,0
039027300002,,"St John's Road",,51.465431154,-0.961852736,,,0,,,0
039026720001,,"Montague Street",,51.465894805,-0.959380511,,,0,,,0
039027360002,,"Star Inn",,51.468960788,-0.959353968,,,0,,,0
039025540001,,"Chiltern Road",,51.470683083,-0.957875047,,,0,,,0
039027590001,,"Travellers Rest",,51.470641678,-0.954233439,,,0,,,0
039025030001,,"All Hallows Road",,51.471463222,-0.95157988,,,0,,,0
039026670001,,"Micklands Road",,51.473335273,-0.946756741,,,0,,,0
039026300002,,"Henley Road County Boundary",,51.474861188,-0.942459568,,,0,,,0
039025870001,,"Devon Drive",,51.477792741,-0.944479742,,,0,,,0
039025930001,,"Dumbarton Way",,51.480296428,-0.945919609,,,0,,,0
039028000001,,"Littlestead Close",,51.481814568,-0.945755008,,,0,,,0
039026860001,,"Osterley Drive",,51.483962847,-0.946670391,,,0,,,0
039027020001,,Queensway,,51.485002559,-0.953328953,,,0,,,0
039026090001,,"Fraser Avenue",,51.485207866,-0.957198399,,,0,,,0
039026480002,,"Kiln Road",,51.487033287,-0.961261507,,,0,,,0
039025740001,,"Courtenay Drive Top",,51.488052019,-0.962577834,,,0,,,0
039025770001,,"Crawshay Drive",,51.487897675,-0.966484513,,,0,,,0
039025490002,,"Chalgrove Way",,51.484744541,-0.964784352,,,0,,,0
039025220002,,"Black Horse",,51.483278024,-0.964687939,,,0,,,0
039027290001,,"St Barnabas Church",,51.482448844,-0.969574299,,,0,,,0
039027250002,,"Southdown Road",,51.479651809,-0.968485297,,,0,,,0
039027160002,,"Rotherfield Way",,51.477620142,-0.971612637,,,0,,,0
039026200002,,"Grove Hill",,51.475787932,-0.974936812,,,0,,,0
039027650002,,"Victoria Road",,51.473732409,-0.974320547,,,0,,,0
039027010002,,"Queen Street",,51.472215857,-0.974671304,,,0,,,0
039026290002,,"Hemdean Hill",,51.469922434,-0.973585325,,,0,,,0
039026290001,,"Hemdean Hill",,51.470571482,-0.973772327,,,0,,,0
039027010001,,"Queen Street",,51.472649393,-0.974891956,,,0,,,0
039027650001,,"Victoria Road",,51.474496187,-0.974260226,,,0,,,0
039026200003,,"Grove Hill",,51.476238567,-0.975056306,,,0,,,0
039027160001,,"Rotherfield Way",,51.478369245,-0.9709046,,,0,,,0
039027250001,,"Southdown Road",,51.480193234,-0.967681062,,,0,,,0
039027290002,,"St Barnabas Church",,51.481947931,-0.969873605,,,0,,,0
039025220001,,"Black Horse",,51.483367797,-0.964671505,,,0,,,0
039025490001,,"Chalgrove Way",,51.485639761,-0.965354572,,,0,,,0
039025770002,,"Crawshay Drive",,51.488021251,-0.966222467,,,0,,,0
039025740002,,"Courtenay Drive Top",,51.488121519,-0.962302601,,,0,,,0
039026480003,,"Kiln Road",,51.485760467,-0.960699933,,,0,,,0
039025440001,,"Cavendish Road",,51.483638305,-0.962721175,,,0,,,0
039025120001,,"Barnard Close",,51.482990196,-0.959596387,,,0,,,0
039025060001,,"Ariel View",,51.4828091,-0.956417827,,,0,,,0
039026680001,,"Milestone Centre",,51.481913085,-0.953745289,,,0,,,0
039026730001,,"Montpelier Drive",,51.480249933,-0.952775306,,,0,,,0
039026120001,,"Galsworthy Drive",,51.478701304,-0.950535568,,,0,,,0
039025960001,,"Earlsfield Close",,51.476916715,-0.946055097,,,0,,,0
039026300003,,"Henley Road County Boundary",,51.474664706,-0.942608097,,,0,,,0
039026670002,,"Micklands Road",,51.473191692,-0.946788843,,,0,,,0
039025030002,,"All Hallows Road",,51.471485301,-0.951032261,,,0,,,0
039027590002,,"Travellers Rest",,51.470576694,-0.954004565,,,0,,,0
039025540002,,"Chiltern Road",,51.470595356,-0.958121802,,,0,,,0
039027360001,,"Star Inn",,51.467964172,-0.959520602,,,0,,,0
039026720002,,"Montague Street",,51.466217935,-0.959315578,,,0,,,0
039027300001,,"St Johns Road",,51.465502234,-0.962772456,,,0,,,0
039026000001,,"Elizabeth House",,51.466127356,-0.967379404,,,0,,,0
039027770001,,"Westfield Road",,51.466794497,-0.970646685,,,0,,,0
039025600002,,"Church Street",,51.467476128,-0.973525032,,,0,,,0
039026340001,,"Hill's Meadow",,51.461776294,-0.967491979,,,0,,,0
039025450001,,"Caversham Laundry",,51.464092928,-0.96610094,,,0,,,0
039027000001,,"Prospect Street",,51.468593494,-0.971743557,,,0,,,0
039026770001,,"Newlands Avenue",,51.471466308,-0.969173791,,,0,,,0
039025110001,,"Balmore Drive",,51.473060208,-0.968417965,,,0,,,0
039027400001,,"Surley Row",,51.47698264,-0.966601572,,,0,,,0
039025370002,,"Buckingham Drive",,51.479165166,-0.965299448,,,0,,,0
039027520001,,"The Pond",,51.482246297,-0.963933638,,,0,,,0
039025440002,,"Cavendish Road",,51.483192496,-0.963148927,,,0,,,0
039028110001,,"Courtenay Drive",,51.489072293,-0.962036166,,,0,,,0
039027150002,,"Rose Hill",,51.491053789,-0.96240889,,,0,,,0
340001635ENT,,"Abbey Rugby Club",,51.499173248,-0.964428745,,,0,,,0
340003251OPP,,"Bird in Hand Turn",,51.505534554,-0.971027721,,,0,,,0
340001634OPP,,"Essex Way",,51.508550901,-0.976637079,,,0,,,0
340001633NOR,,"Westleigh Drive Turn",,51.511841299,-0.981736704,,,0,,,0
340001632CNR,,"Kidmore End Turn",,51.514699004,-0.984656139,,,0,,,0
340001637OUT,,"Post Office",,51.517084607,-0.981864817,,,0,,,0
340001646WOO,,"Brinds Corner",,51.518434491,-0.977856879,,,0,,,0
340001647CHU,,"Sedgewell Road",,51.52100486,-0.980811728,,,0,,,0
340001631OBC,,"Gravel Hill Top",,51.523651697,-0.98326071,,,0,,,0
340003252OUT,,"Peppard Stores",,51.525969961,-0.986192962,,,0,,,0
340001648SOU,,"Peppard Cricket Club",,51.528183997,-0.989560285,,,0,,,0
340000607UNI,,"Peppard Common, Unicorn",,51.530460458,-0.99128757,,,0,,,0
340001648NOR,,"Peppard Cricket Club",,51.52797251,-0.989017177,,,0,,,0
340003252OPP,,"Peppard Stores",,51.525950113,-0.98597718,,,0,,,0
340001631BLO,,"Gravel Hill Top",,51.52347664,-0.982774529,,,0,,,0
340001647OPP,,"Sedgewell Road",,51.520665594,-0.9800554,,,0,,,0
340001646BRI,,"Brinds Corner",,51.518152082,-0.97846852,,,0,,,0
340001637OPP,,"Sonning Common PO",,51.516851616,-0.981956482,,,0,,,0
340001632OPP,,"Kidmore End Turn",,51.514492607,-0.98470396,,,0,,,0
340001633SOU,,"Westleigh Drive",,51.511649507,-0.981395131,,,0,,,0
340001634CNR,,"Essex Way",,51.508420642,-0.97613567,,,0,,,0
340003251OUT,,"Bird in Hand Turn",,51.505333615,-0.970672037,,,0,,,0
340001635OPP,,"Abbey Rugby Club",,51.49925365,-0.964369298,,,0,,,0
039027580002,,"Tower Close",,51.492945964,-0.961832977,,,0,,,0
039027150001,,"Rose Hill",,51.490611368,-0.962202875,,,0,,,0
039028110002,,"Courtenay Drive, Peppard Road",,51.489088489,-0.961834153,,,0,,,0
039027520002,,"The Pond",,51.4820299,-0.963866536,,,0,,,0
039025370001,,"Buckingham Drive",,51.479289375,-0.965109436,,,0,,,0
